name,audience,owner,url
founder_linkedin,founder network,Bolaji,https://mhtoolkit.vercel.app/?utm_source=linkedin&utm_medium=organic&utm_campaign=seven_day_check_in&utm_content=founder_note
founder_x,founder network,Bolaji,https://mhtoolkit.vercel.app/?utm_source=x&utm_medium=organic&utm_campaign=seven_day_check_in&utm_content=founder_note
founder_email,direct contacts,Bolaji,https://mhtoolkit.vercel.app/?utm_source=founder&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=founder_note
campus_email,campus staff and student organizations,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=student_group
campus_dm,campus staff and student organizations,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=dm&utm_campaign=seven_day_check_in&utm_content=student_group
campus_qr,campus events and approved print placements,Partner,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=qr&utm_campaign=seven_day_check_in&utm_content=qr_card
practitioner_email,wellness and peer-support practitioners,Bolaji,https://mhtoolkit.vercel.app/?utm_source=practitioner&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=practitioner_intro
creator_dm,aligned creators,Bolaji,https://mhtoolkit.vercel.app/?utm_source=creator&utm_medium=dm&utm_campaign=seven_day_check_in&utm_content=creator_demo
creator_social,creator audiences,Creator,https://mhtoolkit.vercel.app/?utm_source=creator&utm_medium=social&utm_campaign=seven_day_check_in&utm_content=creator_demo
community_email,community organizations,Bolaji,https://mhtoolkit.vercel.app/?utm_source=community&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=student_group
community_dm,community organizations,Bolaji,https://mhtoolkit.vercel.app/?utm_source=community&utm_medium=dm&utm_campaign=seven_day_check_in&utm_content=student_group
community_practitioner_email,community mental health leaders,Bolaji,https://mhtoolkit.vercel.app/?utm_source=community&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=practitioner_intro
community_practitioner_dm,community mental health leaders,Bolaji,https://mhtoolkit.vercel.app/?utm_source=community&utm_medium=dm&utm_campaign=seven_day_check_in&utm_content=practitioner_intro
community_newsletter,community newsletters,Partner,https://mhtoolkit.vercel.app/?utm_source=community&utm_medium=newsletter&utm_campaign=seven_day_check_in&utm_content=student_group
member_referral,existing activated users,Member,https://mhtoolkit.vercel.app/?utm_source=referral&utm_medium=referral&utm_campaign=seven_day_check_in&utm_content=member_share
product_hunt,Product Hunt launch,Bolaji,https://mhtoolkit.vercel.app/?utm_source=producthunt&utm_medium=organic&utm_campaign=focused_launch&utm_content=launch_post
western_wellness_dm,Western University wellness and wellbeing,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=dm&utm_campaign=seven_day_check_in&utm_content=western_wellness
queens_health_promotion_email,Queen's University health promotion,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=queens_health_promotion
waterloo_health_promotion_email,University of Waterloo health promotion,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=waterloo_health_promotion
laurier_wellness_email,Wilfrid Laurier student wellness,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=laurier_wellness
guelph_wellness_education_email,University of Guelph wellness education,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=guelph_wellness_education
windsor_student_experience_email,University of Windsor student experience,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=windsor_student_experience
carleton_student_affairs_email,Carleton student affairs,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=carleton_student_affairs
uottawa_peer_wellness_email,University of Ottawa peer wellness,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=uottawa_peer_wellness
trent_student_affairs_email,Trent student affairs,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=trent_student_affairs
lakehead_student_success_email,Lakehead student success,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=lakehead_student_success
algoma_student_success_email,Algoma student success and wellbeing,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=algoma_student_success
algoma_wellness_coordinator_email,Algoma wellness coordinator,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=algoma_wellness_coordinator
ubc_wellbeing_email,University of British Columbia wellbeing,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=ubc_wellbeing
sfu_health_promotion_email,Simon Fraser health promotion,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=sfu_health_promotion
manitoba_student_wellness_email,University of Manitoba student wellness,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=manitoba_student_wellness
dalhousie_be_well_email,Dalhousie Be Well,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=dalhousie_be_well
mcgill_student_services_email,McGill student services,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=mcgill_student_services
concordia_cu_wellness_email,Concordia CU Wellness,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=concordia_cu_wellness
memorial_student_wellness_email,Memorial student wellness,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=memorial_student_wellness
usask_peer_health_email,University of Saskatchewan Peer Health,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=usask_peer_health
uvic_wellness_promotion_email,University of Victoria wellness promotion,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=uvic_wellness_promotion
sfu_health_promotion_reroute_email,Simon Fraser administrative reroute,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=sfu_health_promotion_reroute
uvic_student_life_reroute_email,University of Victoria Student Life reroute,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=uvic_student_life_reroute
ucalgary_campus_wellbeing_email,University of Calgary campus wellbeing,Bolaji,https://mhtoolkit.vercel.app/?utm_source=campus&utm_medium=email&utm_campaign=seven_day_check_in&utm_content=ucalgary_campus_wellbeing
